SKU,Nama Barang,SKU GPU
100555,RTL Sirloin Meltique Steak 200 gr,100555
100556,RTL Sirloin Meltique Steak 400 gr,100556
100419,RTL Sirloin Regular 500 gr,100419
101507,RTL Sirloin Steak AUS 150 gr,101507
101342,RTL Sirloin Steak AUS 180 gr,101342
100985,RTL Sirloin Steak AUS 200 gr,100985
101343,RTL Sirloin Steak AUS 230 gr,101343
101093,RTL Sirloin Steak AUS 250 gr,101093
100984,RTL Sirloin Steak AUS 400 gr,100984
100016,RTL Sirloin Steak AUS 500 gr,100016
101372,RTL Sirloin Steak AUS End Cut 160 gr,101372
101373,RTL Sirloin Steak AUS End Cut 180 gr,101373
101374,RTL Sirloin Steak AUS End Cut 200 gr,101374
101397,RTL Sirloin Steak AUS End Cut 250 gr,101397
101078,RTL Sirloin US Choice Steak 200 gr,101078
100998,RTL Sirloin US Choice Steak 220 gr,100998
100999,RTL Sirloin US Choice Steak 250 gr,100999
101000,RTL Sirloin US Choice Steak 280 gr,101000
101001,RTL Sirloin US Choice Steak 310 gr,101001
101229,RTL Sirloin US Choice Steak End Cut 170 gr,101229
101246,RTL Sirloin US Choice Steak End Cut 200 gr,101246
101230,RTL Sirloin US Choice Steak End Cut 250 gr,101230
101247,RTL Sirloin US Choice Steak End Cut 280 gr,101247
100823,RTL Suki Rib Cap 500gr,100823
100896,RTL Slice AUS Shortplate 250 gr,100896
100706,RTL Slice AUS Shortplate 500 gr,100706
100687,RTL Slice Brisket 500 gr,100687
100860,RTL Slice Chuck Crest 500gr,100860
100675,RTL Slice Ekonomis Less Fat 500 gr,100675
100836,RTL Slice Ekonomis Fatty 500 gr,100836
100217,RTL Slice Less Fat 250 gr,100217
100580,RTL Slice Less Fat 500 gr,100580
101252,RTL Slice Shabu Less Fat 500 gr,101252
100612,RTL Slice Sirloin 500gr,100612
100926,RTL Slice Tenderloin 250gr,100926
100924,RTL Slice US Prime 250 gr,100924
100790,RTL Slice US Shortplate 250 gr,100790
100545,RTL Slice US Shortplate 500 gr,100545
101004,RTL Sumsum Bone Marrow 250 gr,101004
101005,RTL Sumsum Bone Marrow 300 gr,101005
101006,RTL Sumsum Bone Marrow 350 gr,101006
101007,RTL Sumsum Bone Marrow 400 gr,101007
101011,RTL Sumsum Bone Marrow Pcs 500gr,101011
100608,RTL Tenderloin Meltique 1000 gr,100608
100832,RTL Tenderloin Meltique 200 gr,100832
100607,RTL Tenderloin Meltique 400 gr,100607
100963,RTL Tenderloin Regular 250 gr,100963
100437,RTL Tenderloin Regular 500 gr,100437
101494,RTL Tenderloin Steak AUS 150 gr,101494
101495,RTL Tenderloin Steak AUS 180 gr,101495
100987,RTL Tenderloin Steak AUS 200 gr,100987
100986,RTL Tenderloin Steak AUS 400 gr,100986
100017,RTL Tenderloin Steak AUS 500 gr,100017
101496,RTL Tenderloin Steak AUS Fillet Mignon 130 gr,101496
101497,RTL Tenderloin Steak AUS Fillet Mignon 150 gr,101497
100564,RTL Trimming Slice 250 gr,100564
100214,RTL Tulang Sop 1000 gr,100214
100918,RTL Tulang Sop 500 gr,100918
101009,RTL Udang Vaname Tail Off 51/60 500gr,101009
100749,RTL Udang Vaname Tail On 71/90 1000gr,100749
100750,RTL Udang Vaname Tail On 71/90 500gr,100750
100683,RTL Urat Mayang 1000 gr,100683
100955,RTL Urat Mayang 500 gr,100955
100921,RTL US Prime Secondary Steak 200gr,100921
100922,RTL US Prime Secondary Steak 400gr,100922
100923,RTL US Prime Secondary Steak End Cut 200gr,100923
101035,RTL US Prime Secondary Steak End Cut 400gr,101035
101012,RTL Yakiniku Wagyu A5 200 gr,101012
101211,RTLP ABC Kecap Inggris 195 ml,101211
101212,RTLP ABC Minyak Wijen 195 ml,101212
101025,RTLP Anchor Butter Minidis Salted 7 gr X 10 Pcs,101025
100945,RTLP Anchor Butter Minidis Unsalted 7 gr X 10 Pcs,100945
100898,RTLP Anchor Butter Pats Salted 227 gr,100898
100897,RTLP Anchor Butter Pats Unsalted 227 gr,100897
100900,RTLP Anchor Butter Tin Salted 454 gr,100900
101410,RTLP Aqua Mineral Water 600 ml,101410
101067,RTLP Bakso Sumber Selera Filling Keju,101067
100851,RTLP Bakso Sumber Selera Polos 50 Pcs,100851
100848,RTLP Bakso Sumber Selera SB Premium 25 Pcs,100848
100847,RTLP Bakso Sumber Selera SB Premium 50 Pcs,100847
100850,RTLP Bakso Sumber Selera SB Serbaguna 25 Pcs,100850
100849,RTLP Bakso Sumber Selera SB Serbaguna 50 Pcs,100849
100852,RTLP Bakso Sumber Selera Urat 20 Pcs,100852
101138,RTLP Bamboe Bumbu Ayam Goreng 33 gr,101138
101139,RTLP Bamboe Bumbu Ayam Goreng Kalasan 55 gr,101139
101140,RTLP Bamboe Bumbu Ayam Kecap 70 gr,101140
101141,RTLP Bamboe Bumbu Bali 49 gr,101141
101142,RTLP Bamboe Bumbu Empal 72 gr,101142
101143,RTLP Bamboe Bumbu Gule 35 gr,101143
101144,RTLP Bamboe Bumbu Kare 36 gr,101144
101145,RTLP Bamboe Bumbu Nasi Goreng 40 gr,101145
101146,RTLP Bamboe Bumbu Opor 36 gr,101146
101147,RTLP Bamboe Bumbu Rawon 54 gr,101147
101148,RTLP Bamboe Bumbu Rendang 35 gr,101148
101149,RTLP Bamboe Bumbu Sambal Goreng Ati 54 gr,101149
101150,RTLP Bamboe Bumbu Saus Asam Manis 80 gr,101150
101151,RTLP Bamboe Bumbu Saus Lemon 60 gr,101151
101152,RTLP Bamboe Bumbu Semur 69 gr,101152
101153,RTLP Bamboe Bumbu Sop 49 gr,101153
101154,RTLP Bamboe Bumbu Soto Ayam 40 gr,101154
101155,RTLP Bamboe Bumbu Soto Betawi 65 gr,101155
101156,RTLP Bamboe Bumbu Soto Madura 40 gr,101156
101157,RTLP Bamboe Bumbu Tom Yum 60 gr,101157
101158,RTLP Bamboe Bumbu Tongseng 80 gr,101158
101176,RTLP Barco Minyak Goreng Kelapa Pouch 1 L,101176
101225,RTLP Barco Minyak Goreng Kelapa Pouch 2 L,101225
101163,RTLP Bernardi Roti Burger Wijen 6 Pcs,101163
100906,RTLP Borges Extra Light Olive Oil 250 ml,100906
101390,RTLP Borges Extra Light Olive Oil 500 ml,101390
